,date,developerResponse,review,rating,isEdited,title
0,1/31/2023 15:37,,baguss cuma please transfer ke bank lain jangan ada admin nya dong wkwkk,5,FALSE,bagus
1,1/31/2023 17:13,"{'id': 34631786, 'body': 'Hai Sobat BRI, jika sudah menonaktifkan fitur Notifikasi pada ponsel yang digunakan maka tidak akan menerima informasi tersebut. Jika masih mengalami kendala, silakan kirimkan detail kendala aplikasi BRImo melalui Whatsapp resmi BRI 08121214017 atau email callbri@bri.co.id. Apabila sudah tidak mengalami kendala, kami harapkan bintang 5 dari Sobat BRI. Tks~Dio\r\n', 'modified': '2023-02-02T09:04:59Z'}","Notifikasi brimo saya matikan, krna pemilihan jadwal/cronjob push notifikasi kurang tepat. Masa jam 12 malem hp bunyi bikin kaget aja. Agar lebih bijak ya team devnya.",2,FALSE,Bijak dalam kirim push notif
2,1/31/2023 13:43,,"Top,, Lebih mudah transaksi  menggunakan BRIMO DAN IB banking. SAFETY,, Thanks",5,FALSE,TRANSAKSI MUDAH DAN AMAN BRIMO
3,1/31/2023 11:38,,Memudahkan hidupku,5,FALSE,bagus
4,1/31/2023 11:26,,Mantap keren membantu,5,FALSE,Aplikasi nya mantap sekali
5,1/31/2023 11:11,,Semuanya mudah dengan brimo trmakasih BRI telah memberikan kemudahan utuk nasabah,5,FALSE,Brimo
6,1/31/2023 10:26,,Mantaappp BRImo,5,FALSE,Penilaian
7,1/31/2023 8:22,,Baik,5,FALSE,bagus
8,1/31/2023 6:53,,Fast and responsive even in older device without sacrificing the overall lobagus of the app. Everything went smooth from registration to transaction 👍,5,FALSE,Great finance app!
9,1/31/2023 5:08,,bagus lah mempermudah dalam transaksii,5,FALSE,bagus
10,1/31/2023 2:52,,Sangat membantu,5,FALSE,bagus
11,1/31/2023 3:25,"{'id': 30593449, 'body': 'Sobat BRI, mohon kesediaan mengulangi kembali melakukan transaksi BI-Fast. Jika masih mendapatkan respon yang sama, mohon kirimkan gambar dari respon yang diterima melalui Whatsapp 0812 12 14017 email callbri@bri.co.id. Tks~Diva\r\n', 'modified': '2023-01-31T03:25:55Z'}",Pilihan data universitas terbuka (UT) gk ada dlm list universitas. Apakah blm di update datanya? 🤨,4,TRUE,Pembayaran semester UT
12,1/31/2023 2:18,,Lebih mudah dan ringan dalam 1 aplikasi 🤘🏻,5,FALSE,Mudah
13,1/31/2023 1:26,,Keamanan terjamin,5,FALSE,Mantap
14,1/31/2023 1:18,,aplikasi bagus,5,FALSE,keren
15,1/31/2023 0:32,,Semua bagus terkendali,5,FALSE,Brimo bagus
16,1/30/2023 22:55,,Wow,5,FALSE,bagus
17,1/31/2023 0:23,"{'id': 34608734, 'body': 'Hai Sobat BRI, jika mengalami kendala. Guna tindak lanjut, mohon kirimkan detail kendala yang dialami melalui email callbri@bri.co.id atau WhatsApp resmi BRI 08121214017. Jika sudah tidak mengalami kendala kami harapkan bintang 5 dari Sobat BRI. Tks~Banu\r\n', 'modified': '2023-02-01T08:29:11Z'}",Jumlah notifikasi berkurang setelah di klik tapi tidak muncul apa2.,1,FALSE,Tidak bisa buka notifikasi.
18,1/31/2023 0:18,"{'id': 34608623, 'body': 'Hai Sobat BRI, mohon maaf atas kendala yang dialami. Saat ini aplikasi BRImo dalam keadaan normal. Jika mengalami kendala, silakan kirimkan detail kendala aplikasi BRImo melalui Whatsapp resmi BRI 08121214017 atau email callbri@bri.co.id. Apabila sudah tidak mengalami kendala, kami harapkan bintang 5 dari Sobat BRI. Tks~Banu', 'modified': '2023-02-01T08:25:53Z'}","Kenapa sekarang susah bngt log in tiap mau log in gagal terus padahal internet lancar, ga bisa digunain pas lagi dibutuhin",2,FALSE,Susah log in
19,1/30/2023 16:38,,Mantap josh,5,FALSE,Ratinh
20,1/30/2023 18:01,"{'id': 28851207, 'body': 'Pastikan sudah mengunduh BRImo versi terbaru 2.18.1, apabila mengalami kendala transaksi, mohon kesediaan menyampaikan informasi lengkap melalui email callbri@bri.co.id guna pengecekan dan tindak lanjut. Namun jika sudah tidak mengalami kendala kami harapkan bintang 5 dari Sobat BRI ya. Tks~Tedi', 'modified': '2023-01-30T18:01:50Z'}","Tolong dong aplikasinya dibenerin banyak bug
Masa saldo sering gak kebaca,",1,TRUE,Banyak bug
21,1/30/2023 16:35,,Bintang 4,4,FALSE,bagus
